日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,VATURNOVER 
2018-02-01,'000333,美的集团,59.34,60.1,58.14,60.0,59.82,-0.48,-0.8024,38003198,
2018-01-31,'000333,美的集团,59.82,60.42,58.2,58.33,58.76,1.06,1.8039,25407243,
2018-01-30,'000333,美的集团,58.76,60.68,58.5,59.42,59.87,-1.11,-1.854,30951625,
2018-01-29,'000333,美的集团,59.87,62.18,58.9,61.97,62.0,-2.13,-3.4355,46708583,
2018-01-26,'000333,美的集团,62.0,62.69,60.53,61.3,61.3,0.7,1.1419,33351639,
2018-01-25,'000333,美的集团,61.3,61.42,59.0,60.8,60.41,0.89,1.4733,28256417,
2018-01-24,'000333,美的集团,60.41,62.65,60.2,62.39,62.12,-1.71,-2.7527,32612654,
2018-01-23,'000333,美的集团,62.12,62.64,60.23,61.38,61.43,0.69,1.1232,38647252,
2018-01-22,'000333,美的集团,61.43,61.54,58.58,58.58,58.17,3.26,5.6043,45850148,
2018-01-19,'000333,美的集团,58.17,59.11,57.9,58.95,58.95,-0.78,-1.3232,31387869,
2018-01-18,'000333,美的集团,58.95,59.79,58.5,59.0,58.75,0.2,0.3404,22378155,
2018-01-17,'000333,美的集团,58.75,61.01,58.45,61.0,61.09,-2.34,-3.8304,41403703,
2018-01-16,'000333,美的集团,61.09,61.83,60.1,61.0,61.16,-0.07,-0.1145,28936528,
2018-01-15,'000333,美的集团,61.16,62.66,61.0,61.32,60.8,0.36,0.5921,36722573,
2018-01-12,'000333,美的集团,60.8,61.18,59.3,59.62,59.62,1.18,1.9792,25290020,
2018-01-11,'000333,美的集团,59.62,60.88,58.88,60.01,60.56,-0.94,-1.5522,31603528,
2018-01-10,'000333,美的集团,60.56,61.3,58.9,59.59,59.48,1.08,1.8157,44896688,
2018-01-09,'000333,美的集团,59.48,59.95,57.24,57.8,57.66,1.82,3.1564,44805413,
